#from http://webappa.cdc.gov/sasweb/ncipc/mortrate9.html
#Year 	Number of
#Deaths 	Population*** 	Crude
#Rate 	Age-Adjusted
#Rate**
1981 	34050 	229465316 	14.84 	14.64
1982 	32957 	231664211 	14.23 	14.05
1983 	31099 	233792237 	13.30 	13.12
1984 	31331 	235825040 	13.29 	13.07
1985 	31566 	237924038 	13.27 	13.03
1986 	33373 	240133048 	13.90 	13.55
1987 	32895 	242289046 	13.58 	13.24
1988 	33989 	244499040 	13.90 	13.51
1989 	34776 	246819195 	14.09 	13.72
1990 	37155 	249464396 	14.89 	14.51
1991 	38317 	252980942 	15.15 	14.82
1992 	37776 	256514231 	14.73 	14.46
1993 	39595 	259918595 	15.23 	15.00
1994 	38505 	263125826 	14.63 	14.45
1995 	35957 	266278403 	13.50 	13.38
1996 	34040 	269394291 	12.64 	12.57
1997 	32436 	272646932 	11.90 	11.84
1998 	30708 	275854116 	11.13 	11.09
1999 	28874 	279040181 	10.35 	10.30
2000 	28663 	281421906 	10.19 	10.14
2001 	29573 	284968955 	10.38 	10.31
2002 	30242 	287625193 	10.51 	10.43
2003 	30136 	290107933 	10.39 	10.29
2004 	29569 	292805298 	10.10 	9.99
2005 	30694 	295516599 	10.39 	10.27
2006 	30896 	298379912 	10.35 	10.22
2007 	31224 	301231207 	10.37 	10.24
2008 	31593 	304093966 	10.39 	10.23
2009 	31347 	306771529 	10.22 	10.05
2010 	31672 	308745538 	10.26 	10.07
