#from http://www.cdc.gov/injury/wisqars/fatal_injury_reports.html
#Year 	Number of
#Deaths 	Population*** 	Crude
#Rate 	Age-Adjusted
#Rate**
1981 	15089 	229465316 	6.58 	6.34
1982 	13830 	231664211 	5.97 	5.74
1983 	12040 	233792237 	5.15 	4.92
1984 	11815 	235825040 	5.01 	4.76
1985 	11836 	237924038 	4.97 	4.71
1986 	13029 	240133048 	5.43 	5.05
1987 	12657 	242289046 	5.22 	4.87
1988 	13645 	244499040 	5.58 	5.18
1989 	14464 	246819195 	5.86 	5.48
1990 	16218 	249464396 	6.50 	6.11
1991 	17746 	252980942 	7.01 	6.64
1992 	17488 	256514231 	6.82 	6.50
1993 	18253 	259918595 	7.02 	6.75
1994 	17527 	263125826 	6.66 	6.45
1995 	15551 	266278403 	5.84 	5.69
1996 	14037 	269394291 	5.21 	5.10
1997 	13252 	272646932 	4.86 	4.77
1998 	11798 	275854116 	4.28 	4.21
1999 	10828 	279040181 	3.88 	3.82
2000 	10801 	281421906 	3.84 	3.79
2001 	11348 	284968955 	3.98 	3.93
2002 	11829 	287625193 	4.11 	4.07
2003 	11920 	290107933 	4.11 	4.07
2004 	11624 	292805298 	3.97 	3.94
2005 	12352 	295516599 	4.18 	4.17
2006 	12791 	298379912 	4.29 	4.27
2007 	12632 	301231207 	4.19 	4.20
2008 	12179 	304093966 	4.01 	4.03
2009 	11493 	306771529 	3.75 	3.78
2010 	11078 	308745538 	3.59 	3.62
